#E EFF Epot Ekin Eint Eext
3.337843020599311e+00 3.502603108229945e+00 1.197103238473984e+00 2.140739782125327e+00 1.485173188292073e-01 1.048585919644777e+00
3.553597212873619e+00 2.817519894863792e+00 1.259417167429871e+00 2.294180045443749e+00 1.236737920911570e-01 1.135743375338715e+00
3.287353960459606e+00 2.953828127668151e+00 1.269660406747749e+00 2.017693553711858e+00 1.178334222488454e-01 1.151826984498904e+00
3.504617567104752e+00 3.392796395337765e+00 1.240840158952157e+00 2.263777408152595e+00 1.458606726971915e-01 1.094979486254965e+00
3.339044395872746e+00 3.421659686923818e+00 1.250318493475895e+00 2.088725902396851e+00 1.380203630850903e-01 1.112298130390805e+00
3.322367708357331e+00 3.289671056536801e+00 1.251507312280084e+00 2.070860396077247e+00 1.335254992436657e-01 1.117981813036418e+00
3.507553366210815e+00 2.927001208998664e+00 1.261106753055332e+00 2.246446613155483e+00 1.268279059499417e-01 1.134278847105390e+00
3.528945287675815e+00 3.047056879467583e+00 1.254225904276929e+00 2.274719383398886e+00 1.323740012522643e-01 1.121851903024664e+00
3.280519779428404e+00 3.780673087027372e+00 1.296077972207724e+00 1.984441807220680e+00 1.422726188869837e-01 1.153805353320740e+00
3.724150193276198e+00 2.882890533624144e+00 1.256900891386454e+00 2.467249301889744e+00 1.363353640506897e-01 1.120565527335764e+00
3.600613234253249e+00 3.221846571792932e+00 1.266037300595452e+00 2.334575933657797e+00 1.415736751608162e-01 1.124463625434636e+00
3.508349571366026e+00 3.363021705589909e+00 1.234222839754351e+00 2.274126731611675e+00 1.468467759055194e-01 1.087376063848831e+00
3.235254585081684e+00 3.624241748347277e+00 1.249260391702576e+00 1.985994193379109e+00 1.416449843444521e-01 1.107615407358124e+00
2.866754903885447e+00 3.894800060712117e+00 1.259617779657323e+00 1.607137124228124e+00 1.341393102040363e-01 1.125478469453287e+00
3.229635223487228e+00 3.669299519037472e+00 1.285807418976685e+00 1.943827804510543e+00 1.397307767760064e-01 1.146076642200678e+00
3.307791907234415e+00 3.368466052410397e+00 1.295224822780308e+00 2.012567084454107e+00 1.311829803315805e-01 1.164041842448728e+00
3.512157479797656e+00 2.929552989502784e+00 1.321955418497521e+00 2.190202061300135e+00 1.226789003820705e-01 1.199276518115451e+00
3.213608053161304e+00 3.851638240315910e+00 1.292561659469706e+00 1.921046393691598e+00 1.449076066360569e-01 1.147654052833649e+00
3.673603914234181e+00 2.947341589810135e+00 1.249078046361320e+00 2.424525867872861e+00 1.366159014446538e-01 1.112462144916667e+00
3.401473058437949e+00 3.113333359089040e+00 1.265268845065243e+00 2.136204213372705e+00 1.292508545313466e-01 1.136017990533897e+00
2.572625896296226e+00 4.480325365114498e+00 1.290150146865809e+00 1.282475749430417e+00 1.427947762846897e-01 1.147355370581119e+00
3.584449232684554e+00 2.971907619078137e+00 1.283007611314528e+00 2.301441621370026e+00 1.312325615051838e-01 1.151775049809344e+00
3.195754223331543e+00 3.654827583222335e+00 1.268882435284849e+00 1.926871788046693e+00 1.380566307589590e-01 1.130825804525891e+00
2.985730046133286e+00 3.665452474073912e+00 1.242507552420811e+00 1.743222493712475e+00 1.341324591501117e-01 1.108375093270698e+00
3.379869244116148e+00 2.900300497150390e+00 1.196335587695411e+00 2.183533656420737e+00 1.273662863638895e-01 1.068969301331522e+00
3.577430428397395e+00 3.041023637526638e+00 1.265370041514363e+00 2.312060386883033e+00 1.336248691236346e-01 1.131745172390728e+00
3.463313245760489e+00 3.068816468036005e+00 1.278681115140375e+00 2.184632130620114e+00 1.294299038867955e-01 1.149251211253579e+00
3.336656583562644e+00 2.966478501262218e+00 1.282090025849033e+00 2.054566557713611e+00 1.201803166285878e-01 1.161909709220445e+00
3.508160878242808e+00 2.890861377023635e+00 1.231751235761422e+00 2.276409642481386e+00 1.292655374085606e-01 1.102485698352862e+00
3.391411811450117e+00 2.781757665578843e+00 1.246679414571380e+00 2.144732396878736e+00 1.190203967852517e-01 1.127659017786129e+00
3.318662456109967e+00 3.612319072613221e+00 1.256764120169501e+00 2.061898335940466e+00 1.445682802080115e-01 1.112195839961490e+00
3.609455128691898e+00 2.804774128024839e+00 1.282921825620470e+00 2.326533303071428e+00 1.273984301270002e-01 1.155523395493469e+00
3.357276009452920e+00 3.008364973477247e+00 1.291930134814415e+00 2.065345874638506e+00 1.208820998281990e-01 1.171048034986215e+00
3.397661615798545e+00 3.485803515267896e+00 1.292069432147984e+00 2.105592183650561e+00 1.394198487645784e-01 1.152649583383406e+00
3.252152685950856e+00 3.264087449449999e+00 1.276673528368122e+00 1.975479157582734e+00 1.268646816584229e-01 1.149808846709700e+00
3.547843487496174e+00 3.285948283035937e+00 1.286384241042299e+00 2.261459246453875e+00 1.395073512392222e-01 1.146876889803077e+00
3.223020054061782e+00 3.359545920749545e+00 1.269252293590908e+00 1.953767760470873e+00 1.315469511826129e-01 1.137705342408295e+00
3.201281208142881e+00 3.663250267794256e+00 1.283381346320949e+00 1.917899861821933e+00 1.398634834000099e-01 1.143517862920939e+00
3.067070581015697e+00 3.551074446166657e+00 1.281187228016021e+00 1.785883352999676e+00 1.270552342400159e-01 1.154131993776006e+00
3.233426081000773e+00 2.847889440348355e+00 1.266408736363698e+00 1.967017344637075e+00 1.136456622191184e-01 1.152763074144580e+00
3.375635180890178e+00 3.550182850567290e+00 1.292340216648314e+00 2.083294964241865e+00 1.409545996571184e-01 1.151385616991195e+00
3.324248536103228e+00 3.971243757667112e+00 1.264346207493225e+00 2.059902328610003e+00 1.562541507787820e-01 1.108092056714443e+00
3.303821986400759e+00 2.778970857389051e+00 1.269837818693208e+00 2.033984167707552e+00 1.142241503964855e-01 1.155613668296722e+00
3.361196837356200e+00 3.403048541939191e+00 1.312118262511881e+00 2.049078574844319e+00 1.321506479165071e-01 1.179967614595375e+00
3.509848675947114e+00 3.224403569303375e+00 1.315435037698466e+00 2.194413638248648e+00 1.334607185095579e-01 1.181974319188908e+00
3.377101073515596e+00 3.464692044205735e+00 1.309456893404329e+00 2.067644180111267e+00 1.363711863923441e-01 1.173085707011985e+00
3.209716465234728e+00 3.198586691313616e+00 1.270291018505311e+00 1.939425446729418e+00 1.237708623292758e-01 1.146520156176035e+00
3.562911919353640e+00 2.782414865944056e+00 1.217952212392693e+00 2.344959706960947e+00 1.298120894369834e-01 1.088140122955709e+00
3.129410861896565e+00 3.396553574186832e+00 1.297273281003996e+00 1.832137580892569e+00 1.249657542077039e-01 1.172307526796292e+00
3.359720676212688e+00 3.152940354958173e+00 1.267725936933853e+00 2.091994739278835e+00 1.266450373359247e-01 1.141080899597928e+00
3.117043589557380e+00 3.690114518728359e+00 1.312234081321791e+00 1.804809508235589e+00 1.322622470662136e-01 1.179971834255578e+00
3.377813419991087e+00 3.125865308985897e+00 1.343053760206660e+00 2.034759659784428e+00 1.222409355367180e-01 1.220812824669941e+00
3.351280969469885e+00 3.375688859509328e+00 1.301572030617442e+00 2.049708938852443e+00 1.330542082640953e-01 1.168517822353347e+00
3.450803088205700e+00 2.729426932498713e+00 1.258110678200546e+00 2.192692410005154e+00 1.183895812032503e-01 1.139721096997295e+00
2.981661711642446e+00 3.779025871007129e+00 1.280925394936755e+00 1.700736316705691e+00 1.323716335574818e-01 1.148553761379272e+00
3.756349868284400e+00 2.957218637170830e+00 1.230163519019050e+00 2.526186349265350e+00 1.426802231747167e-01 1.087483295844333e+00
3.470180272078295e+00 3.038719170185792e+00 1.246426101809694e+00 2.223754170268601e+00 1.337271163169017e-01 1.112698985492792e+00
3.082446800526971e+00 3.655061837090222e+00 1.275494455428939e+00 1.806952345098032e+00 1.331652052561740e-01 1.142329250172765e+00
3.270264332832498e+00 3.425294667398644e+00 1.284215762486862e+00 1.986048570345635e+00 1.317427248034785e-01 1.152473037683383e+00
3.577609642147953e+00 3.220254016028296e+00 1.271560679732638e+00 2.306048962415315e+00 1.382198477312256e-01 1.133340832001412e+00
3.012323036766429e+00 3.902809099818314e+00 1.263580440605417e+00 1.748742596161012e+00 1.421919105122773e-01 1.121388530093140e+00
2.697179243979956e+00 3.828253684423583e+00 1.277099773866479e+00 1.420079470113476e+00 1.246802849733751e-01 1.152419488893104e+00
3.434886474251115e+00 2.827524137782297e+00 1.283419048742575e+00 2.151467425508540e+00 1.188648037923787e-01 1.164554244950196e+00
3.292844570135618e+00 3.237866157754271e+00 1.231808808975113e+00 2.061035761160505e+00 1.309688715606406e-01 1.100839937414473e+00
3.375933955841152e+00 2.804470336036512e+00 1.249379229126214e+00 2.126554726714939e+00 1.190706252540749e-01 1.130308603872138e+00
3.204304500022629e+00 3.548113121218646e+00 1.270914481753788e+00 1.933390018268841e+00 1.348888615924655e-01 1.136025620161322e+00
3.306024194703192e+00 3.012488412755732e+00 1.230231012158131e+00 2.075793182545061e+00 1.252244055652309e-01 1.105006606592901e+00
3.515028059938393e+00 3.183194347114164e+00 1.213953663388070e+00 2.301074396550323e+00 1.413224040437958e-01 1.072631259344274e+00
3.530220944828024e+00 2.752508655267963e+00 1.268175477549117e+00 2.262045467278906e+00 1.236788116529447e-01 1.144496665896173e+00
3.933573764274236e+00 2.838204160553470e+00 1.233256193802200e+00 2.700317570472036e+00 1.461826366717770e-01 1.087073557130424e+00
3.421929656736061e+00 3.183668836834842e+00 1.282293092904542e+00 2.139636563831518e+00 1.317387817868233e-01 1.150554311117719e+00
3.563409058061946e+00 2.535490201730328e+00 1.243594639333840e+00 2.319814418728105e+00 1.187525385035543e-01 1.124842100830286e+00
3.127229485842036e+00 3.443381132739915e+00 1.272265287600332e+00 1.854964198241704e+00 1.270295378040585e-01 1.145235749796273e+00
3.222739576822754e+00 2.997792798699866e+00 1.257611133290977e+00 1.965128443531777e+00 1.175322829846891e-01 1.140078850306288e+00
3.394302871659976e+00 2.944730913166340e+00 1.257914033349300e+00 2.136388838310676e+00 1.235259805238073e-01 1.134388052825493e+00
3.223917304822135e+00 3.542266791406755e+00 1.302483843207084e+00 1.921433461615051e+00 1.342218876232171e-01 1.168261955583866e+00
3.282364476079741e+00 3.415474045576745e+00 1.306748762521107e+00 1.975615713558634e+00 1.304406752214678e-01 1.176308087299639e+00
3.420472074049510e+00 3.165916340174586e+00 1.315707779291547e+00 2.104764294757963e+00 1.272943456216736e-01 1.188413433669874e+00
3.521878143524374e+00 3.005468168451850e+00 1.260595238082093e+00 2.261282905442282e+00 1.306212466810112e-01 1.129973991401082e+00
3.620630846238736e+00 3.140594780186796e+00 1.293176424801665e+00 2.327454421437071e+00 1.384748784151706e-01 1.154701546386494e+00
3.394184831857392e+00 3.404597831295682e+00 1.310404240612711e+00 2.083780591244680e+00 1.348224199241267e-01 1.175581820688586e+00
3.412665921444579e+00 2.547788579776197e+00 1.264489230252722e+00 2.148176691191857e+00 1.095177256724346e-01 1.154971504580287e+00
3.600382487452878e+00 3.361194955069717e+00 1.246479914573287e+00 2.353902572879591e+00 1.469848232665337e-01 1.099495091306753e+00
3.270954938389996e+00 3.416450136696341e+00 1.267903343962144e+00 2.003051594427852e+00 1.349933859987443e-01 1.132909957963399e+00
2.793810938150752e+00 4.345372333231757e+00 1.227162828597219e+00 1.566648109553533e+00 1.531111060026160e-01 1.074051722594603e+00
2.974782748443940e+00 3.571276021777347e+00 1.247610112668487e+00 1.727172635775453e+00 1.293176003255645e-01 1.118292512342922e+00
3.498680427174756e+00 3.137449501162182e+00 1.274196520775980e+00 2.224483906398776e+00 1.331579383572581e-01 1.141038582418722e+00
